0,1,2,3,4,5,6,7
16.58240509,-15.96405029,1,2.863892555,-0.023932789,1,0,0
13.28044605,-12.23197174,1,1.470246196,0.666942239,1,0,0
7.148254871,-6.269550323,1,1.497258306,0.045460936,1,0,0
26.1526947,-18.50756454,1,0.497724533,0.499071866,1,0,1
20.56446457,-13.8340683,1,0.475324035,0.16753149,0,0,0
12.85561085,-11.70415115,1,1.994685888,0.028490212,1,0,0
19.19530487,-17.52199364,1,3.515836,-0.159116462,1,0,0
16.57178307,-12.01950645,1,0.984051824,0.548135638,1,0,0
15.38354874,-15.48160744,1,-1.048560858,1.37133491,1,0,1
17.13332748,-13.94793034,1,0.586663365,2.152293444,1,0,1
18.99869728,-19.52507782,1,2.062437534,2.601462126,0,0,1
5.747345448,-5.788823605,1,1.498540044,3.008502245,0.75,0,1
5.178510189,-4.880540371,1,1.516441584,4.964242935,0.9,0,1
2.526818991,-2.428649902,1,1.759733796,3.59268713,0.666666667,0,1
6.279380322,-6.494778633,1,2.236189365,0.712942064,1,0,0
2.452815771,-2.38759017,1,1.72573638,3.938762665,0.857142857,0,1
4.782370567,-5.709073544,1,2.082265854,2.490291357,0,0,1
3.532189846,-3.44389534,1,1.324759007,4.153085232,0.928571429,0,1
4.274376392,-4.206640244,1,1.815938115,0.03866851,1,0,0
4.537691593,-4.725713253,1,2.472572803,1.901940823,1,0,0
9.179272652,-7.631757736,1,1.154575467,0.114753947,1,0,0
2.668629169,-3.305550098,1,0.647389054,0.156386077,0,0,0
6.134810925,-6.680461407,1,-0.006973261,0.466422647,1,0,1
16.39195633,-14.13032722,1,1.839776516,0.047927927,1,0,0
12.24983978,-11.62474632,1,1.395437121,1.091849208,1,0,0
6.981790066,-6.963788509,1,1.934732437,0.013313811,1,0,0
6.981790066,-6.963788509,1,1.934732437,0.013313811,1,0,0
12.18067741,-10.96629906,1,0.996284962,1.737552524,1,0,1
12.58264828,-11.67601395,1,0.993257642,0.735300839,0,0,0
12.58264828,-11.67601395,1,0.993257642,0.735300839,0,0,0
8.064101219,-7.659332275,1,2.3171556,-0.01467659,1,0,0
8.064101219,-7.659332275,1,2.3171556,-0.01467659,1,0,0
28.45139885,-20.44586563,1,0.016685015,0.201266482,1,0,1
28.45139885,-20.44586563,1,0.016685015,0.201266482,1,0,1
2.86879158,-2.76117444,1,2.206351042,1.7842381,1,0,0
2.86879158,-2.76117444,1,2.206351042,1.7842381,1,0,0
6.558990479,-5.593111992,1,2.762245178,1.573463798,1,0,0
6.558990479,-5.593111992,1,2.762245178,1.573463798,1,0,0
4.497337818,-5.731483936,1,1.590212345,1.248316884,1,0,0
4.497337818,-5.731483936,1,1.590212345,1.248316884,1,0,0
4.325586796,-3.27726078,1,1.243340731,0.087223053,1,0,0
4.045897961,-4.413818836,1,2.240310192,1.280123591,1,0,0
10.87390137,-6.603453636,1,1.720255494,0.363632292,1,0,0
18.33894157,-13.87733459,1,1.716776848,0.025431823,1,0,0
4.432878971,-3.712506056,1,2.110402584,-0.014315855,1,0,0
10.56988239,-9.881223679,1,1.610532641,0.038826432,1,0,0
9.365356445,-8.105710983,1,2.345010996,-0.037230734,1,0,0
13.44403458,-9.844522476,1,2.1057899,-0.011519488,1,0,0
5.669690609,-5.426170349,1,0.675874829,0.131693676,0,0,0
13.32605171,-10.21465588,1,1.086163521,0.068635494,1,0,0
14.0552597,-12.61116695,1,1.279811263,0.061524939,1,0,0
21.49918556,-15.44195938,1,0.659111977,0.117668271,0,0,0
17.72182655,-13.44813919,1,0.93342483,0.093459368,1,0,0
15.27408981,-15.31925488,1,1.586951017,0.038342398,1,0,0
18.09482384,-13.7315855,1,2.044266701,-0.012027804,1,0,0
13.65042114,-13.65507889,1,2.657239437,-0.067700922,1,0,0
7.724737644,-6.920248032,1,1.198101997,0.091192782,1,0,0
7.926720142,-7.061195374,1,0.928052902,0.118551701,1,0,0
15.03311348,-12.97522354,1,-0.132719755,0.221181139,1,0,1
9.113975525,-7.485408783,1,0.575232148,0.136590138,0,0,0
10.03267002,-7.455961704,1,0.77167964,0.121556684,0,0,0
7.529004574,-6.88391304,1,1.636184931,0.029549923,1,0,0
8.987664223,-8.950244904,1,1.115344882,0.081211939,1,0,0
4.625488281,-4.926634312,1,-0.84783113,0.261496693,1,0,1
0.594439983,-1.347119927,0.941176471,1.235535026,0.069169655,1,0,0
5.557136059,-5.328605652,1,-0.180950761,0.19770889,1,0,1
18.9221344,-14.255476,1,-0.548496604,0.237993374,1,0,1
15.71153641,-13.94095325,1,0.363246322,0.168455347,0,0,0
19.63709068,-16.46946335,1,-0.607343435,0.2378041,1,0,1
